Gene end (bp),Gene start (bp),Gene name,Gene stable ID,Source of gene name,Gene Synonym
10736283,10736171,U2,ENSG00000277248,RFAM,
10961338,10939388,FRG1FP,ENSG00000283047,HGNC Symbol,
11068174,11066418,,ENSG00000279973,,
11125705,11124337,ACTR3BP7,ENSG00000226444,HGNC Symbol,
11249959,11249809,5_8S_rRNA,ENSG00000276871,RFAM,
11479643,11474744,,ENSG00000288262,,
11910358,11827523,,ENSG00000286406,,
12626642,12602466,FRG1GP,ENSG00000283023,HGNC Symbol,
15273961,15273855,U6,ENSG00000276138,RFAM,
15288670,15282557,,ENSG00000280341,,
15297196,15290718,,ENSG00000236235,,
15304556,15298378,,ENSG00000279442,,
15343065,15326037,ZNF72P,ENSG00000184624,HGNC Symbol,Cos8
15343065,15326037,ZNF72P,ENSG00000184624,HGNC Symbol,ZNF72
15350043,15349467,BNIP3P2,ENSG00000236097,HGNC Symbol,
15492564,15489990,YME1L1P1,ENSG00000236831,HGNC Symbol,YME1L2
15529139,15528192,OR11H1,ENSG00000130538,HGNC Symbol,OR22-1
15578006,15541436,,ENSG00000237299,,
15553838,15550904,ARHGAP42P3,ENSG00000235759,HGNC Symbol,OPHN1P1
15560694,15557577,,ENSG00000233408,,
15564276,15562017,,ENSG00000215268,,
15573265,15572089,,ENSG00000213727,,
15588478,15588361,,ENSG00000230643,,
15604882,15600908,,ENSG00000230471,,
15613096,15611759,NEK2P2,ENSG00000231565,HGNC Symbol,
15615578,15615402,,ENSG00000226474,,
15632051,15622601,NF1P6,ENSG00000224435,HGNC Symbol,Em:AP000532.C22.1
15632051,15622601,NF1P6,ENSG00000224435,HGNC Symbol,NF1L6
15644330,15635180,MED15P7,ENSG00000234381,HGNC Symbol,
15721631,15690026,POTEH,ENSG00000198062,HGNC Symbol,A26C3
15721631,15690026,POTEH,ENSG00000198062,HGNC Symbol,ACTBL1
15721631,15690026,POTEH,ENSG00000198062,HGNC Symbol,CT104.7
15721631,15690026,POTEH,ENSG00000198062,HGNC Symbol,POTE22
15703403,15699361,POTEH-AS1,ENSG00000236666,HGNC Symbol,
15701565,15701459,RNU6-816P,ENSG00000212216,HGNC Symbol,
15722608,15721486,,ENSG00000241838,,
15778297,15746630,PSLNR,ENSG00000225255,HGNC Symbol,LA16c-83F12.6
15750825,15749156,GRAMD4P2,ENSG00000235992,HGNC Symbol,
15829984,15784959,DUXAP8,ENSG00000206195,HGNC Symbol,
15797909,15794901,,ENSG00000271127,,
15820884,15805263,BMS1P22,ENSG00000232775,HGNC Symbol,
15823890,15823197,,ENSG00000272872,,
15827187,15826566,DUXAP8,ENSG00000271672,HGNC Symbol,
15893942,15852990,NBEAP3,ENSG00000223875,HGNC Symbol,BCL8C
15855243,15854195,TOMM40P2,ENSG00000215270,HGNC Symbol,
15901911,15901791,,ENSG00000229286,,
15915800,15914721,,ENSG00000233866,,
16141872,16141767,U6,ENSG00000278188,RFAM,
